MilliSeconds,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
5794,0.129701063,0.005140885,-0.116116144,-0.072064243,-0.270641327,-0.294794738,-0.261259973,-0.228743568,0.018419394,0.044583756,0.063432679,0.009291654,0.05629326,-0.258764714,-0.210911691,-0.20784238,0.19096148,-0.049182631,0.011841673,0.041255653,-0.086235195,-0.227833137,-0.265181601,-0.015600002,0.038910616
5833,0.129548877,0.004419249,-0.117794566,-0.073764056,-0.272315085,-0.296462893,-0.262930274,-0.230408624,0.016741047,0.043027885,0.061877955,0.007734322,0.07469672,-0.257834017,-0.211140424,-0.208027363,0.188821509,-0.050249416,0.01356925,0.034595009,-0.087602399,-0.22940743,-0.266119599,-0.017152783,0.03777501
5873,0.127316877,0.003812143,-0.117874719,-0.07384523,-0.272395015,-0.296542585,-0.26301524,-0.230488151,0.016660942,0.042950165,0.061797306,0.007651165,0.058631666,-0.257928163,-0.211018309,-0.207916319,0.187016919,-0.050516058,0.012116783,0.036210984,-0.087750115,-0.229545444,-0.266188622,-0.017235702,0.037738133
5952,0.126849473,0.003470256,-0.118097447,-0.074070834,-0.2726174,-0.296764135,-0.263246596,-0.230709106,0.016438467,0.042733114,0.061574798,0.00742364,0.055435877,-0.258666366,-0.210944846,-0.207858577,0.196355164,-0.046023466,0.010816381,0.039414123,-0.087987833,-0.229794219,-0.266324639,-0.01746258,0.037631124
5991,0.13223204,0.004989238,-0.117959596,-0.073931143,-0.272479445,-0.296626776,-0.263114929,-0.230572373,0.016575787,0.042859185,0.061697543,0.007544156,0.101014823,-0.259920955,-0.211336985,-0.20812048,0.175653279,-0.051307142,0.010278343,0.037810594,-0.087670259,-0.229656458,-0.266364694,-0.017342381,0.037728854
6032,0.126006842,0.002948953,-0.118881933,-0.074865431,-0.273400605,-0.29754436,-0.264036477,-0.231487304,0.015654853,0.045912281,0.06473805,0.0105831,0.052054521,-0.259668589,-0.210674226,-0.207542807,0.187392727,-0.056895405,0.008140443,0.035918839,-0.08862453,-0.230570376,-0.266870707,-0.014311934,0.038761422
6071,0.123370282,0.001108435,-0.119919278,-0.075916208,-0.274436653,-0.298576325,-0.265072823,-0.232516378,0.014619068,0.047041953,0.065860316,0.011703346,0.04961982,-0.259558111,-0.210590005,-0.207514301,0.186661065,-0.056633536,0.006624742,0.032283969,-0.089848988,-0.231596589,-0.267486155,-0.013194811,0.040251456
6111,0.123468012,0.001062931,-0.120071173,-0.076070018,-0.274587989,-0.298727274,-0.265232116,-0.232667089,0.014467048,0.049372479,0.068179265,0.01402068,0.051211093,-0.259609789,-0.210988238,-0.207927048,0.187164292,-0.056497648,0.006882823,0.034780536,-0.08997985,-0.231747001,-0.267797559,-0.010883896,0.043609001
6190,0.132390082,0.007550408,-0.11692702,-0.072885759,-0.271451712,-0.295601815,-0.262130529,-0.229547963,0.017610284,0.055659231,0.074438468,0.020275701,0.052541237,-0.256798238,-0.210198686,-0.207208455,0.187556237,-0.047864754,0.006575192,0.03664653,-0.086164676,-0.228635103,-0.265903294,-0.004646786,0.049636196
6230,0.130556956,0.006465136,-0.116952978,-0.072911844,-0.271476626,-0.295627028,-0.262165099,-0.229573846,0.017583281,0.056610029,0.075381465,0.021216959,0.054250982,-0.257381916,-0.209309071,-0.206341967,0.18996945,-0.050281506,0.006572501,0.036761045,-0.086392872,-0.228661269,-0.265902996,-0.003708054,0.050758198
6270,0.126502469,0.005707361,-0.116725519,-0.072681442,-0.271249503,-0.295400798,-0.261948138,-0.229348212,0.017810453,0.05717095,0.075935781,0.021769218,0.051994838,-0.25651136,-0.20991078,-0.20691596,0.190819681,-0.047558825,0.006347893,0.040411361,-0.086331449,-0.228436247,-0.265846014,-0.003157353,0.050859686
6309,0.127026305,0.005728157,-0.116580598,-0.072534621,-0.271104634,-0.295256525,-0.261812866,-0.229204416,0.017955044,0.057523809,0.076282673,0.0221141,0.052692626,-0.257231712,-0.20924522,-0.206234455,0.193948239,-0.042202577,0.006135235,0.040747736,-0.08622314,-0.228292882,-0.265820146,-0.002813424,0.050473548
