Frames,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
15039,4.503796577,4.487706184,4.459244728,4.402526379,4.444333076,4.402601242,4.220789433,4.219006538,4.43525219,4.436073303,4.255441666,4.238367558,4.474296093,4.112704277,4.158040047,4.097578526,4.47229147,4.120690823,4.158891678,4.114338398,4.46873951,4.175719261,4.214000225,4.151241779,4.198143005
15078,4.50756979,4.499769211,4.490936756,4.453486919,4.468405247,4.437172413,4.245849133,4.239342213,4.481839657,4.439403057,4.258162498,4.24097681,4.478410244,4.117053032,4.15762043,4.097920895,4.4755826,4.1244874,4.158840179,4.112709999,4.494027615,4.19988203,4.217499733,4.150240898,4.166333675
15158,4.507745266,4.515760899,4.525001049,4.521877289,4.502636909,4.444485188,4.250863075,4.25974369,4.497884274,4.465092182,4.280902863,4.275021553,4.478544235,4.119171619,4.157957554,4.104105949,4.475788593,4.128468037,4.159235954,4.111952305,4.52428627,4.218883038,4.259249687,4.17024374,4.240200043
15197,4.4995718,4.500579834,4.491272926,4.535095215,4.518340588,4.44977808,4.255966663,4.250768661,4.517656326,4.431175709,4.247673988,4.211727142,4.479568958,4.119420528,4.157430649,4.100354195,4.45819521,4.130313873,4.153667927,4.11002636,4.495578289,4.179724216,4.264666557,4.195913315,4.184666634
15238,4.439640999,4.482345104,4.51469183,4.5572052,4.490231514,4.405499458,4.266169548,4.25272131,4.541100979,4.448539734,4.296042442,4.275500774,4.409934998,4.123527527,4.158557892,4.097082138,4.408026695,4.128418446,4.15387392,4.107870102,4.50858593,4.220628262,4.250333309,4.208993435,4.221000195
15277,4.417359829,4.469511032,4.506892204,4.569219112,4.488279343,4.335506916,4.151308537,4.143925667,4.505945206,4.41991806,4.262115002,4.295991898,4.392578602,4.128333092,4.159254074,4.094937801,4.382232189,4.124656677,4.151818275,4.107313633,4.499393463,4.10841608,4.156555176,4.209495544,4.194749832
15316,4.422461033,4.473372936,4.511652946,4.574901581,4.486904144,4.292962074,4.107307911,4.098581314,4.510710239,4.424684048,4.266877174,4.303938389,4.394900799,4.131246567,4.159542084,4.094166279,4.390062809,4.123637676,4.150157452,4.10503149,4.504057407,4.085544109,4.102874756,4.226993561,4.210666656
15396,4.419348717,4.466890335,4.502990723,4.575769901,4.443365574,4.232860565,4.171491146,4.220473766,4.502038479,4.41600275,4.258196354,4.252120972,4.396279335,4.120585442,4.158843994,4.094378948,4.381431103,4.123349667,4.146279335,4.099086285,4.495927811,4.184728622,4.202499866,4.208244801,4.20536232
15435,4.420354843,4.46756506,4.503705502,4.576346397,4.452909946,4.24325943,4.155555725,4.22684145,4.502226353,4.41618824,4.258378029,4.239873886,4.392878056,4.116803169,4.157326221,4.097999096,4.389381409,4.123695374,4.146404743,4.09833622,4.496637344,4.217234135,4.208875179,4.198247433,4.28000021
15476,4.419553757,4.466731548,4.503268242,4.57560873,4.456641674,4.24675703,4.051326752,4.093603611,4.501607418,4.415569305,4.257753372,4.229241371,4.394329071,4.1156497,4.157135487,4.098548412,4.384613991,4.126079559,4.145233631,4.099032402,4.496117592,4.077216148,4.081749916,4.214577675,4.216333389
15515,4.419778824,4.466794014,4.503228188,4.575549603,4.457637787,4.247177601,4.051743507,4.09002161,4.501611233,4.415567875,4.257750034,4.235579014,4.396046638,4.111965179,4.150240898,4.024168491,4.383059978,4.126046181,4.144801617,4.100557327,4.496104717,4.068710804,4.058000088,4.213245392,4.222333908
15595,4.417196751,4.464041233,4.500422478,4.554113388,4.458316803,4.246609211,4.051167011,4.092164516,4.500519753,4.414464474,4.256642342,4.243179798,4.388451576,4.108002663,4.145280838,4.019035816,4.384059906,4.120012283,4.145040989,4.100204945,4.493319035,4.05721283,4.086167336,4.225457668,4.216742516
15634,4.416894436,4.46377182,4.500212193,4.554068089,4.458631992,4.246701241,4.05125618,4.08354044,4.50056839,4.414507389,4.256682396,4.232566357,4.386687279,4.107855797,4.144907951,4.018646717,4.384536743,4.120423794,4.144775391,4.099973679,4.493091583,4.063221455,4.052000046,4.206861019,4.208285809
15673,4.417034149,4.46386528,4.500290871,4.554283619,4.458937168,4.246856213,4.051407814,4.093385696,4.50073576,4.414670467,4.256842136,4.247432232,4.388537407,4.106810093,4.142870426,4.016634941,4.384265423,4.120726585,4.143805504,4.101462841,4.493175983,4.082474709,4.082800388,4.207594872,4.188249588
15714,4.414794922,4.46282196,4.499929428,4.577527523,4.388766289,4.17551136,3.980057955,3.988471508,4.500705719,4.414641857,4.256812572,4.251307011,4.410604,4.106800556,4.142882347,4.020217419,4.347391129,4.123617172,4.141960621,4.101502419,4.492655754,3.977561474,3.977891207,4.212762833,4.223750114
15753,4.414907932,4.462891579,4.500056267,4.576987743,4.388915062,4.175659657,3.980206251,3.988620281,4.50092411,4.414860249,4.257030964,4.227017403,4.405580997,4.10633707,4.141614437,4.018965721,4.362216473,4.121599674,4.141460419,4.10174942,4.492754459,3.977710009,3.977908134,4.217265129,4.203999996
15833,4.402046204,4.449525833,4.486656666,4.550988197,4.371073246,4.1135602,3.918162584,3.926574469,4.483375072,4.397304058,4.239481449,4.261560917,4.370417595,4.106336117,4.139431953,4.01666069,4.358606339,4.118096352,4.140050888,4.104905128,4.479412079,3.915676117,3.91602397,4.229349136,4.211289406
15872,4.406304359,4.455720901,4.495102882,4.553471088,4.380086899,4.125469685,3.930015326,3.938421488,4.392755508,4.306692123,4.148860455,4.135187626,4.373583794,4.104944706,4.139927387,4.098361015,4.376913071,4.117151737,4.142829418,4.098958492,4.487213612,3.927518845,3.927860498,4.137260437,4.11259985
15912,4.406515598,4.455857754,4.495121002,4.569336414,4.380119324,4.125805855,3.930351257,3.93875289,4.392755032,4.306691647,4.148860455,4.123457909,4.372766495,4.104799747,4.139881134,4.012221813,4.377734184,4.11732626,4.142201424,4.100122929,4.487259388,3.927850008,3.928191662,4.121256828,4.094399929
15952,4.405691147,4.455711842,4.495266438,4.580260754,4.341919899,4.089046955,3.893589735,3.901985168,4.392752647,4.306717396,4.148865223,4.104832172,4.384829521,4.102258205,4.140112877,4.014769554,4.365314484,4.117369175,4.141618252,4.104314804,4.487372875,3.891094685,3.891455889,4.08092165,4.079250336
16031,4.407853603,4.457037449,4.496098518,4.583445549,4.3661623,4.119818211,3.924368382,3.932759047,4.392922401,4.30688715,4.149034977,4.093504906,4.385546207,4.101697922,4.138422489,4.010873795,4.369699001,4.117952824,4.13870573,4.104324818,4.488252163,3.921859503,3.922205925,4.06825304,4.076444149
16071,4.407948017,4.457194328,4.496198177,4.583858967,4.36673069,4.095612049,3.899763107,3.908147335,4.392875671,4.306841373,4.148988724,4.104175091,4.385503292,4.101447105,4.137308121,4.009763241,4.369736195,4.113892078,4.141117573,4.096717358,4.488376141,3.897242546,3.897581577,4.076584339,4.071000099
16110,4.405766487,4.455366611,4.494496346,4.582965851,4.366476536,4.090549946,3.893743753,3.902126551,4.392223358,4.30618906,4.148336411,4.116941929,4.381474972,4.101561069,4.136968613,4.009448051,4.368681431,4.113912106,4.143217564,4.091220379,4.486713886,3.891228676,3.891577244,4.087445259,4.080749989
16150,4.400418282,4.451202393,4.490962505,4.581130505,4.366164684,4.097782135,3.901260138,3.909636497,4.391689301,4.305655003,4.147802353,4.09424305,4.413330555,4.105628014,4.136288643,4.008784294,4.297915459,4.113986015,4.14215374,4.094716072,4.483047009,3.898741961,3.899095774,4.072250843,4.076813221
16190,4.399893284,4.450948715,4.490908146,4.576103687,4.366942883,4.099486828,3.903101683,3.911473036,4.39180088,4.305766582,4.147913933,4.089657784,4.415680885,4.105817318,4.136209011,4.008704185,4.302193165,4.114428997,4.143701077,4.094219208,4.482969761,3.900578976,3.900933266,4.06175375,4.081833839
16269,4.389524937,4.44538784,4.487808704,4.555157185,4.368553162,4.10332346,3.90735054,3.915712595,4.391789913,4.305744171,4.147898674,4.09734726,4.419888973,4.113099098,4.137400627,4.009928703,4.29564476,4.11484623,4.143307686,4.092825413,4.479706764,3.904815674,3.905166388,4.074117184,4.073588371
16309,4.401990891,4.453255653,4.494324207,4.565546513,4.372369766,4.107636929,3.911704779,3.920063496,4.395318031,4.309279442,4.151429176,4.117487431,4.430234432,4.118820667,4.136555672,4.00887394,4.312682629,4.114786625,4.143255711,4.09497118,4.486023426,3.909169197,3.909523487,4.068754673,4.064666748
16349,4.402520657,4.452679634,4.492742538,4.558935642,4.370527267,4.105845451,3.909927845,3.91828227,4.393270969,4.307229042,4.149381161,4.092123985,4.380817413,4.10185051,4.135963917,4.008374214,4.363358974,4.114672184,4.143224716,4.094558239,4.484727383,3.907387018,3.907461643,4.07341814,4.058499813
16428,4.396167278,4.450936317,4.492329597,4.55744648,4.370307922,4.105653763,3.909740448,3.918087482,4.392956734,4.276414394,4.140164852,4.134223938,4.362823486,4.102109909,4.135867596,4.008160114,4.364409447,4.113992691,4.142663002,4.096781254,4.484147072,3.907192945,3.907140017,4.123256683,4.11550045
16468,4.401835918,4.451646805,4.492426395,4.55732584,4.370424271,4.105777264,3.909865141,3.918208838,4.393046379,4.277656555,4.140357018,4.168883801,4.379395485,4.102116108,4.137090206,4.009452343,4.366690159,4.115421295,4.142349243,4.097405434,4.484284401,3.907314539,3.907536745,4.188250542,4.120999813
16507,4.401413441,4.45166111,4.492595673,4.557109356,4.370441437,4.105800629,3.90988946,3.918229818,4.393043041,4.278447151,4.140426636,4.112886906,4.427206993,4.118480206,4.136937618,4.009294987,4.31088829,4.115138054,4.144835472,4.095336437,4.484401226,3.907335997,3.907690525,4.132252693,4.06499958
16547,4.400673389,4.451295853,4.49227953,4.556223392,4.370132923,4.105494499,3.909583807,3.917920351,4.39272356,4.27842474,4.140208244,4.113885403,4.426784039,4.118466854,4.139103889,4.011463642,4.310784817,4.115056992,4.143186569,4.098165035,4.484055996,3.907026529,3.907336712,4.106254578,4.093999863
16626,4.402563095,4.45263052,4.492697716,4.55621624,4.370483398,4.105850697,3.909941673,3.918271303,4.393053055,4.279243469,4.140615463,4.09777832,4.389492989,4.102199554,4.139599323,4.074589729,4.361355782,4.114972115,4.1433568,4.097820759,4.484670162,3.907377958,3.90773344,4.090147972,4.07789278
16666,4.402166367,4.452590942,4.492760181,4.556428432,4.370497704,4.105865002,3.909955978,3.91828227,4.393064976,4.27929163,4.140635967,4.097789288,4.432237625,4.121544838,4.139563084,4.087622166,4.307485104,4.114921093,4.142883301,4.096809387,4.484712124,3.907388926,3.90768981,4.090158939,4.077893257
16706,4.401686192,4.452296734,4.492555141,4.549693584,4.370454311,4.105822086,3.909913063,3.918235302,4.393019676,4.279261589,4.140595913,4.111387253,4.430746555,4.12041235,4.139487267,4.011854649,4.308390617,4.11486578,4.143519878,4.099677563,4.484490871,3.907341957,3.907586098,4.083258629,4.076154709
16745,4.399035454,4.451637268,4.492664337,4.548880577,4.370460033,4.105827808,3.909919024,3.918237686,4.393024921,4.279274464,4.140604496,4.11613512,4.38356781,4.10163784,4.139457703,4.011828423,4.343215466,4.114789963,4.143000603,4.100093842,4.484482765,3.907344341,3.907567978,4.095252991,4.100333214
16825,4.398960114,4.451468945,4.492669106,4.54801178,4.370393276,4.105762482,3.909853458,3.918165445,4.392956257,4.27987051,4.140305519,4.097156048,4.331526756,4.102492332,4.139865398,4.089383602,4.40268898,4.11495018,4.142656326,4.09650135,4.484426498,3.9072721,3.907514095,4.099324226,4.101070404
16864,4.396587849,4.44882822,4.49023056,4.544083595,4.368457317,4.103828907,3.907919168,3.916228056,4.391005039,4.281965256,4.13740015,4.145507813,4.41309166,4.114025116,4.138381481,4.010706425,4.311196327,4.115223885,4.141363144,4.098915577,4.481904984,3.905333519,3.90684557,4.076248646,4.170000076
16904,4.399057388,4.450061798,4.490762234,4.542553425,4.368902206,4.104274273,3.908365726,3.916671515,4.391447067,4.283042431,4.138010979,4.111793518,4.370644093,4.102463722,4.138858795,4.011229515,4.370485783,4.115594864,4.14085722,4.097693443,4.482589245,3.905777454,3.906749725,4.076246262,4.099200249
16944,4.394185066,4.446919441,4.488520622,4.53933382,4.368421555,4.103794098,3.90788579,3.916188002,4.390964508,4.282731056,4.137614727,4.110889435,4.355430603,4.102458,4.137701511,4.010113716,4.367238998,4.115900993,4.141667366,4.099314213,4.480163097,3.90529418,3.906414509,4.08758831,4.098649025
